ID,grade,group,gender,age
CBC_1001,4. Kl,Kontrolle,f,10.699
CBC_1002,4. Kl,Kontrolle,f,9.974
CBC_1003,3. Kl,Kontrolle,m,10.108
CBC_1005,3. Kl,Kontrolle,f,9.605
CBC_1006,5. Kl,Kontrolle,m,11.598
CBC_1007,4. Kl,Kontrolle,m,10.863
CBC_1010,2. Kl,Kontrolle,f,7.677
CBC_1011,2. KG,Kontrolle,m,5.692
CBC_1013,4. Kl,Kontrolle,f,10.431
CBC_1014,3. Kl,Kontrolle,f,9.217
CBC_1015,3. Kl,Kontrolle,f,9.217
CBC_1016,4. Kl,Kontrolle,f,10.786
CBC_1017,6. Kl,Kontrolle,f,12.17
CBC_1018,2. Kl,Kontrolle,f,8.079
CBC_1019,6. Kl,Kontrolle,f,12.995
CBC_1020,3. Kl,Kontrolle,f,9.307
CBC_1021,2. Kl,Kontrolle,f,7.959
CBC_1022,2. KG,Kontrolle,f,6.141
CBC_1024,3. Kl,Kontrolle,m,9.206
CBC_1026,2. KG,Kontrolle,f,6.28
CBC_1027,6. Kl,Kontrolle,f,12.891
CBC_1028,2. Kl,Kontrolle,f,9.307
CBC_1029,4. Kl,Kontrolle,m,10.882
CBC_1030,2. KG,Kontrolle,m,6.964
CBC_1031,1. Kl,Kontrolle,m,6.494
CBC_1033,4. Kl,Kontrolle,f,9.969
CBC_1034,2. Kl,Kontrolle,m,7.863
CBC_1035,2. KG,Kontrolle,f,6.934
CBC_1036,3. Kl,Kontrolle,f,9.195
CBC_1037,3. Kl,Kontrolle,f,9.796
CBC_1038,2. KG,Kontrolle,f,6.029
CBC_1040,3. Kl,Kontrolle,f,8.943
CBC_1041,1. Kl,Kontrolle,f,6.83
CBC_1042,1. KG,Kontrolle,f,5.81
CBC_1044,1. Kl,Kontrolle,f,7.177
CBC_1045,2. KG,Kontrolle,m,6.36
CBC_1048,1. Kl,Kontrolle,m,6.668
CBC_1051,3. Kl,Kontrolle,m,8.853
CBC_1054,2. KG,Kontrolle,m,6.663
CBC_1058,4. Kl,Kontrolle,m,10.144
CBC_1059,2. Kl,Kontrolle,f,7.915
CBC_1064,2. Kl,Kontrolle,f,7.923
CBC_1071,1. Kl,Kontrolle,m,7.174
CBC_1072,3. Kl,Kontrolle,m,8.943
CBC_1075,3. Kl,Kontrolle,m,9.446
CBC_1076,1. Kl,Kontrolle,m,7.152
CBC_1087,2. Kl,Kontrolle,m,8.807
CBC_1090,2. Kl,Kontrolle,f,8.623
CBC_1093,2. Kl,Kontrolle,m,8.949
CBC_1102,3. Kl,Kontrolle,f,8.935
CBC_1108,2. Kl,Kontrolle,m,8.109
CBC_1109,3. Kl,Kontrolle,m,9.728
CBC_1110,2. KG,Kontrolle,f,6.409
CBC_1111,2. KG,Kontrolle,m,6.13
CBC_1112,2. KG,Kontrolle,f,6.895
CBC_1114,2. KG,Kontrolle,f,6.163
CBC_1115,1. Kl,Kontrolle,m,7.672
CBC_1117,2. KG,Kontrolle,m,6.742
CBC_1119,1. Kl,Kontrolle,m,7.461
CBC_1122,2. KG,Kontrolle,f,6.409
CBC_1127,2. KG,Kontrolle,m,6.165
CBC_1129,2. KG,Kontrolle,f,6.237
CBC_1136,2. KG,Kontrolle,f,6.693
CBC_1138,2. KG,Kontrolle,m,6.734
CBC_1139,1. Kl,Kontrolle,m,7.434
CBC_1143,5. Kl,Kontrolle,m,11.016
CBC_1146,1. Kl,Kontrolle,m,8.019
